统计时间,国外资产,外汇,货币黄金,其他国外资产,对政府债权,其中:中央政府,对其他存款性公司债权,对其他金融性公司债权,对非货币金融机构债权,对非金融性公司债权,其他资产,总资产,储备货币,发行货币,金融性公司存款,其他存款性公司,其他金融性公司,对金融机构负债,准备金存款,非金融性公司存款,活期存款,债券,国外负债,政府存款,自有资金,其他负债,总负债
2018.9,218810.54,214084.15,2541.5,2184.89,15274.09,15274.09,109333.36,5956.83,,45.02,16809.91,366229.75,317918.35,78117.23,,231051.12,,,,,,,2049.55,34794.98,219.75,7698.09,366229.75
2018.8,219951.48,215278.1,2541.5,2131.88,15274.09,15274.09,104345.1,5953.63,,40.39,17052.17,362616.86,311147.14,75744.16,,227764.54,,,,,,,1398.43,38843.2,219.75,7521.74,362616.86
2018.7,220129.82,215301.95,2541.5,2286.37,15274.09,15274.09,104707.06,5947.94,,53.27,17170.79,363282.97,311857.68,75506.83,,229937.54,,,,,,,1199.4,39241.89,219.75,7208.14,363282.97
2018.6,220183.33,215193.78,2541.5,2448.05,15274.09,15274.09,103424.01,5947.94,,54.37,17818.71,362702.44,318471.19,75657.75,,237805.08,,,,,,,1117.8,32041.47,219.75,7105.73,362702.44
2018.5,220168.94,215117.7,2541.5,2509.75,15274.09,15274.09,97160.5,5949.94,,53.99,17541.98,356149.44,304487.07,75912.6,,223565.24,,,,,,,2741.2,37393.81,219.75,7420.95,356149.44
2018.4,220101.22,215026.26,2541.5,2533.47,15274.09,15274.09,93847.46,5949.94,,57.64,17994.91,353225.27,307283.61,77626.23,,224662.34,,,,,,,1233.27,33433.49,219.75,7053.74,353225.27
2018.3,220277.91,214952.04,2541.5,2784.37,15274.09,15274.09,99901.88,5949.94,,35.65,18168.93,359608.4,321350.16,79452.59,,238740.05,,,,,,,928.59,26373.97,219.75,6567.48,359608.4
2018.2,220369.03,214873.66,2541.5,2953.87,15274.09,15274.09,103154.71,5949.94,,98.57,17681.82,362528.16,318288.71,91477.8,,224608.56,,,,,,,1005.51,32023.11,219.75,6586.02,362528.16
2018.1,220677.03,214833.15,2541.5,3302.38,15274.09,15274.09,97888.52,5986.62,,99.03,17874.92,357800.2,307499.28,81557.19,,224704.52,,,,,,,1024.71,38144.22,219.75,6419.66,357800.2
2017.12,221164.12,214788.33,2541.5,3834.29,15274.09,15274.09,102230.35,5986.62,,101.95,18174.48,362931.62,321870.76,77073.58,,243802.28,,,,,,,880.0,28626.03,219.75,6315.84,362931.62
