债券代码,债券简称,申购日期,申购代码,原股东配售码,每股获配额,计划发行量,实际发行量,中签公布日,中签号,上市日期,正股代码,正股简称,转股价格,到期时间,中签率
110097,天润转债,2024-10-24,733419,704419,3.138,9.9,9.9,2024-10-28,"44641、69641、94641、19641；
129499、379499、629499、879499；
3096066、8096066；
79799774、99799774、59799774、39799774、19799774；
719865639、219865639；
6639208336、3673285536、1392977219、5847939603、2105862713、4499429914、6107691849、0472298310",2024-11-15,600419,天润乳业,8.21,2030-10-24,0.00442529
113690,豪24转债,2024-10-23,754809,753809,0.945,5.5,5.5,2024-10-25,"44609；
774613、274613、086079；
6493579；
19572983、32072983、44572983、57072983、69572983、82072983、94572983、07072983、56889594；
2486211291、2741916638、1630502758、2547929647、3984241865、1152025400",2024-11-20,603809,豪能股份,6.33,2030-10-23,0.00131908
113688,国检转债,2024-10-17,754060,753060,0.995,8.0,8.0,2024-10-21,"71679、21679；
3273652、8273652；
89780852、39780852；
3602630811、2867707235、2663510239、2614210800、3790215986、4807744837",2024-11-12,603060,国检集团,6.52,2030-10-17,0.00202207
113689,洛凯转债,2024-10-17,754829,753829,2.521,4.03431,4.03431,2024-10-21,"382138、582138、782138、982138、182138；
8944430、3944430、2288334；
51433438、01433438、04938601；
0920620893、6637395645、2078699897、1711672752",2024-11-11,603829,洛凯股份,15.33,2030-10-17,0.00053307
118050,航宇转债,2024-08-21,718239,726239,4.532,6.67,6.67,2024-08-23,"48835、98835、51015；
828383、328383；
4204927、6204927、8204927、2204927、0204927、6752046、1752046；
90900102、78400102、65900102、53400102、40900102、28400102、15900102、03400102、09147488；
345365633、845365633；
6708778138、3042332719、4024138419、6632994339、2662535103、0333674893",2024-09-10,688239,航宇科技,24.96,2030-08-21,0.00327929
123248,恒辉转债,2024-08-21,370952,380952,3.4392,5.0,5.0,2024-08-23,"131444、331444、531444、731444、931444、765450、015450、265450、515450；
1533252；
04629257、54629257；
671342166、071342166、271342166、471342166、871342166、326005529、826005529；
4326241435、2762685749",2024-09-12,300952,恒辉安防,18.11,2030-08-21,0.00091274
123247,万凯转债,2024-08-16,371216,381216,5.2889,27.0,27.0,2024-08-20,"8022、3022；
23956；
711558、111558、311558、511558、911558、314466、064466、564466、814466；
3146583、0646583、1896583、4396583、5646583、6896583、8146583、9396583；
37027880、17027880、57027880、77027880、97027880、32536513；
579077796、079077796、204077796、329077796、454077796、704077796、829077796、954077796；
3593197219、6564569924、2196794996、0644200144、1791076240",2024-09-05,301216,万凯新材,11.3,2030-08-16,0.02198689
123246,远信转债,2024-08-16,371053,381053,3.504,2.86467,2.86467,2024-08-20,"676199、176199、458123；
1468548、3968548、6468548、8968548；
717317374、117317374、317317374、517317374、917317374、741224944、241224944、491224944、991224944；
2305993502、6644486508、4423180434、0219716493",2024-09-03,301053,远信工业,22.95,2030-08-16,0.00034096
123245,集智转债,2024-08-14,370553,380553,3.1385,2.546,2.546,2024-08-16,"24279；
313098、813098；
63832731、13832731；
068275679、193275679、318275679、443275679、568275679、693275679、818275679、943275679；
2071093406、6211073717、5647662576、4846707976、0616293316、1846082561",2024-08-28,300553,集智股份,18.11,2030-08-14,0.00120288
127106,伟隆转债,2024-08-13,072871,082871,1.2573,2.6971,2.6971,2024-08-15,"588379、088379、338379、838379；
5977776、0977776；
48896981；
170972720、370972720、570972720、770972720、970972720、625199142、125199142；
4048813912、2307199186、5443618719、6568581403、3617109192、0724091099",2024-08-28,002871,伟隆股份,8.26,2030-08-13,0.00042180
